Somali_homograph,Meaning_Index,Somali_definition
xajiin,1,Geed yar oo leh caleemo xaadi ku rogantahay iyo dhacaan cuncun deran ku reeba wixii uu taabto.
xajiin,2,Cuncun haraggu dareemo oo oogadu aad u kahato oo waxyaalo kala gaar ah laga qaado ; cadanyo; caaro. xajiimo.
xal,1,Biyo yar oo wax lagu dhaqay.
xal,2,Biyo yar weel ku mayrid.
xalli,1,Mushkilo ama mas'alo xal u helid.
xalli,2,Nafley ama dad si saf ballaaran ah u socosho.
xalxal,1,"Barbarar jilicsan oo oogadu yeelato, inta haragga hoostiisa biyo iyo dhacaan oo joogsadaan."
xalxal,2,Nabar caalliray barar iyo biyo yeelasho.
xambaar,1,La bixidda gabar la guursanayo xoog lagula baxo. xambaarid.
xambaar,2,Wax dhabarka ku qaadid.
xambaar,3, cid xumaan dhaxalsiin.
xangulle,1,"Cad maskax yaryarta ka mid ah oo birtaawaha lagu masaxo marka canjeerada lagu dubaayo. xandulle, xangullo."
xangulle,2,"Qayb ka mid ah sooh maskaxeedka oo ku dhex jira togga xiriirka lafdhabarka oo ka kooban unug maska xeedyo iyo dareenwadayaal xiriiriya massada iyo jirka inta kale, wuxu ka sameysanyahay lakab sooh cas oo ku wareegsanyahay lakab sooh cad."
xannib,1,Dhib; cadaadis; kadeed.
xannib,2,Cid xayiraad eysasho.
xannib,3,Dhibid; cadaadin; kadaadin.
xanuun,1,"Dareen meel oogada ka mid ahi iska dareento oo ay la kaarto ama dhuuri ula rooro, nabar ku dhacay ama waxyeello kale oo gaartay darteed; kaar; dhuuri; halac; laxaw."
xanuun,2,Caafimaad iyo fayoobi la'aan; cudur; bugto; jirro.
xanuun,3,Kaar iwm dareemid; xanuun yeelasho.
xaqir,1,"Xaqa iyo sharafka wax leeyihiin oo aan la marin, loo diido; tixgelis la'aan; dulleyn; quursi; yasid. xaqiraad."
xaqir,2,Cid liidid ama yasid. xaqiraad 
xaraar,1,Dhadhan aan macayn.
xaraar,2,Haweeney wallicid. xaraaraansho kharaaraansho. xaraarad m.dh . Firiiric yaryar oo jirka dadka
xaraash,1,Wax naado lagu iibiyo oo hadba qofka qiime madhaafaan ah gaara lagu baaryo.
xaraash,2,Qof ama dibi beer falidda yaqaan.
xaraash,3,Badeeco qiimo jaban kadid.
xarar,1,Geedabaareed weynaada oo laf adag oo qoryihiisa wax lagu dhisto.
xarar,2,Naqash.
xarfo,1,Caws jilicsan oo dhego yaryar oo meelaha riska ah ka baxa; wuxuu yeesha sabuul miro yaryar leh oo la cuno.
xarfo,2,Kax bannaan; dibir.
xarfo,3,Kalluunka jaad ka mid ah.
xarfo,4,Hoore dabayl ku qaboobid.
xargag,1,"Wax biyabbiyo ah, sida dhiigga, isqabsadkooda."
xargag,2,"Wax caato darteed, la engega, isoohma."
xargag,3,Kawrax; engeg. 
xargag,4,"Subag, dhiig iwm wax fadhiya ama adag noqosho. hargag2, xarkag2."
xariir,1,Caano biyo badan lagu daray; candiid; cindiid.
xariir,2,Barxid .
xariir,3,Lafdhabar; arxan. xiriir2. xariir2 m.dh . Dhar jilicsan oo qurxoon
xarriiq,1,"Daliig, jiitin."
xarriiq,2,"Isku xir ka dhexeeya laba barood oo ku yaalla dululaati ama dul xarriiqi waxa ay leedahay dherer haseyeeshee, ma laha ballac, waxa ay noqon kartaa mid toosan ama xoodan. Hidda toosan waa fogaanta ugaaban ee u dha xaysa laba barood oo ku yaalla dul fidsan."
xarriiq,3,Xarriiq samayn. xarriiqa waqtiyeynta caalamiga 
xaryan,1,Xoolo badan.
xaryan,2,"Nooc ka mid ah doonyaha waaweyn, siiba kuwa shiraacyada badan leh."
xaryan,3,Xoolo badan hal mar wada guurid.
xashaash,1,Xarrago; mardaaddi; 
xashaash,2,Dhar cusub ama qurxoon xirasho. xarshaash2.
xasil,1,Aayar; miyir; tartii
xasil,2,Arrin iwm wax deggan noqosho.
xasil,3,Xoolo wax aayar u socda ama u daaqaya noqosho.
xayaad,1,"Nooc ka mid ah ciyaaraha saarka oo leh jiib, jaan iyo sacab, waxaana cayaar ammaanta diinta Islaamka ku dhisan oo ay dheelaan beeraleyda reer Dhoobey iyo Ugaarsatadaba. Dheeshaa sida Booranaha waxaa lagu daaweeyaa cudurro."
xayaad,2,Nafley raaxay sasho.
xeer,1,Sharci; dastuur.
xeer,2,Xarig kor looga xiro aqalka miyiga si aan dabayshu u qaadin.
xeer,3,Xarig wax kor kaga xirid.
xeer,4,Wax sharci kadhigid.
xeero,1,Weel godan oo qori ka samaysan oo cuntada lagu rito.
xeero,2,Qaybta kordhisa codka shareerada oo ka samaysan xeero qori ah oo harag ari ku daboolan.
xiddig,1,Wax iftiin leh oo hawada sare ugan oo aan dayaxa iyo qorraxda midna ahayn oo habeenkii kaliya la arko.
xiddig,2,"Ninka koowaad ee loo xusho jilidda fili mada, riwaayadaha iwm."
xiddig,3,Qof cayaaryahan ah oo kooxdiisa aad uga muuqda.
xiddig,4,Wax iftiin leh oo habeenkii hawada sare laga arko.
xiddig,5,Haweeney riwaayadaha iyo filimada jisha.
xidid,1,"Geedka intiisa dhulka ku aasan, laamaha iyo faraqa ka baxa mid ka mid ah."
xidid,2,"Dhuumaha oogada nafleyda ka buuxa oo dhiigga halbowleyaashu xubnaha ku faafiyeen, soo qaada oo wadnaha oo celiya."
xidid,3,Xiriir dadku yeesho oo xagga guurka ka yimaada.
xidid,4,"Xididka tiro maangal ama murakab  waa tiro marka la dul dhigo jibbaar ay la mid tahay tiradaasi. Tusaale ahaan, 2 waa xidid afraadka ee 16 2"
xidid,5,Xidid noqosho .
xig,1,Xaskul.
xig,2,In yar oo hoore ah.
xig,3,Neef dhawaan la maalay caano yar oo candhadiisa oo dhaca.
xig,4,"Wax, wax kale u dhowaansho."
xig,5,Xiriir qaraabanimo yeelasho.
xiidan,1,"Dhuunta cunnadu marto, inteeda u dhexaysa caloosha iyo afka saxaradu ka baxdo."
xiidan,2,Cunnammareenka intiisa yaryar oo caloosha iyo qab sinnada u dhexaysa.
xiidan,3,"Qaybta ka midka mindhicirka weyn ee lafdhabarleyda ee u dhexaysa siikamka iyo malawadka. Shaqada ugu weyn ee uu qabtaana waxa weeye ka soo nuugista macaadinta iyo biyaha hadhaaga cuntada aan la dheefshiidin ee soo dhaafta mindhicirka yar, taas oo marka dambe noqo ta saxarro."
xiin,1,"Waxa xoog u wareegaya ama u ordaya, shanqarta ka yeerta."
xiin,2,Sayn roob ah oo xoog iyo dheerayn leh.
xiin,3,Aad u ordid.
xiin,4,"Matoor baabuur iwm dhawaaqid. xiinto m.dh Webiyada,"
xiji,1,Dhirta xabagta udgoon dhasha oo moxorka iyo yagcartu ka mid yihiin.
xiji,2, wax kale u dhoweyn ama raacin.
xil,1,Xishood; sheex; sarriig.
xil,2,"Wax ama hawl la isu dhiibay ama la is faray ama la qabanayo, wixii ceebaal ah, ama naftii sharaf lihi ka xishooto, oo ka imaan kara haddii la hargado ama lagaboodfalo."
xil,3,Ceebal; fadeexo.
xil,4,Cid mas'uul saarid.
xilafur,1,"Xilaha la qabo oo si sharci ah loo sii daayo, loo furo; dalaaq."
xilafur,2,Dhaar lagu dhaarto in xilaha la furayo.
xilli,1,Waqti; goor; ammin.
xilli,2,Xilliyo sannadeed oo lagarto xaalado gaar ahaaneed ee
xilo,1,Haweenka la qabo; oori; afo; maranti; naag.
xilo,2,"wax dan moodid; wax u iilasho, wax u eexasho."
xiriir,1,Qaab wax is daba yaalla ay isugu xiran yihiin.
xiriir,2,Cilaaqaad ka dhexeeya laba qof ama ka badan.
xiriir,3,"Urur lammaaneyaal horsan, ama isku xir ka dhexeeya kutirsaneyaasha urur ama ururro."
xiriir,4,Wax si aan kala go' lahayn isu daba jooga noqosho.
xiriir,5,arrin xogteeda cid kala hadlid.
xiriiriye,1,"Qof bar naamijyada ka baxa raadiyaha, telefishinka iwm dadka la socodsiiya."
xiriiriye,2,Wax isku xira laba shay ama ka badan.
xiriiriye,3,Curi yeyaal aan isbeddeleyn oo loo adeegsado xiriirin labo erey ama labo koox erey oo weer iskula jira amaba labo weerood oo kala madax bannaan. Tus. Sahal iyo Malyuun waa walaalo.
xood,1,Ul yar; dhenged.
xood,2,Xoodamis; salaax.
xood,3,Hab ceelasha qaarkood loo shubo.
xood,4,Xarig iwm oo dabacsan togid.
xoodnaan,1,Dhakhsaha isbeddelka ee jihada xood halka bar gaar ahaneed ee xoodkaasi.
xoodnaan,2,"Rogaalka gacanka goobada, taas oo, si aad ah ugu ekaaneyso xood halka bar la isa siiyey."
xoodnaan,3,"Summad  Dhaqsaha isbeddelka ee tiirada taabtaha ee xood, marka loo eego fogaanta ku dhereran xoodka."
xoog,1,Kartida muruqyadu u yeeshaan culays qaadidda.
xoog,2,Ciidan.
xoog,3,Kubka intiisa hore u jeedda.
xoog,4,"Summad F. Fal kasta oo beddela ama isku daya inuu beddelo xaaladda negaashaha walax ama ku jirta socod madoorsoome ah. Xoogga, F, ee ku abbaaran walax cufkeedu , dhalinayana karaar ah, , waxa lagu helaa F = ma Halbeegga cufku waa Niyuutan ."
xoog,5,Wax khasab ku qaadasho.
xoog,6,Haweeney kufsasho.
xoon,1,"Sooloji ahaan, koox xaya waanka ka mid ah oo iskusinji ah oo meel ku wada nool, noloshooduna iskuxidhantahay. Qaarkood sida shacaabiga iyo isboonjiga waxay iskaga dhegsanyihiin dusha, una shaqeeyaan sidii xayawaan keliya. Kuwu kalena, sida xoon cayayaanka dusha iskagama dhegsana, waxaanay leeyihiin urur ro bulsho oo heer sare ah oo xubnahoodu shaqooyin kala duwan qabtaan."
xoon,2,"Wadajir, wax ama meel isugu soo ururid, isu soo tuurid; shamuumid; heemasho."
xoor,1,"Bahal dabacaddaha la bah ah; wuxuu leeyahay dhogor adag oo duf ah oo bey ah; aad wuxuu u laayaa halaqa, jiirka, kd., fudaydna looma dili karo."
xoor,2,Xumbo cad oo caanaha la lisay yeeshaan.
xoor,3,xoor  . Magac xiddi good.
xoor,4,Wax tuurid.
xoor,5,Wax dhumin.
xoq,1,Beeyo qolof lagu fujiyo oo aan saafi ahayn. 
xoq,2,Wax ciddiyaha marmarin.
xoq,3,Wax hoolid.
xoq,4,Cusbo gaar ah carruur dabada ka gelin. xog3.
xoqad,1,xoqasho.
xoqad,2,"Diirad, dooribeyn, biladaye."
xoqad,3,"Qun, xoqato."
xorgog,1,"Caato, wuxuu ku dhego aan laga fujin karin; wax ku koga ama isku qonbojiya."
xorgog,2,Nafley caatoobid.
xorgog,3,Wax si ba'an ugu dhegid.
xuddun,1,Godka yarka ah oo caloosha bartankeeda ku yaal.
xuddun,2,"Hab waalidarruurtiisa wax xoolo ah, u siiyo ."
xuddun,3,"Badhtamaha dhulka ee ka hooseeya carrojiifka dhulka, hexroorkii suna yahay 6900 oo mitir, oo leh cufnaan sare, kana kooban nikal iyo xadiid."
xug,1, xaskul qori lagu xaquuqay oo buruqdii laga milay oo liilankii caddaa isu haray.
xug,2,xuf.
xug,3,"Xoolo isku duuban, si degdeg ah u kaxayn, u eryid."
xug,4,Si aayar ah maqaarka ama xuubka uga saarid.
xug,5,Hilib ku haray maqaarka ka jarjarid. hug.
xukun,1,"Talis, guddoon."
xukun,2,xugmi. Go'aan maxkamadeed.
xukun,3,"xakaamad, xukuumad. Dowlad; dawlo. xugun."
xukun,4,Wax maamulid.
xukun,5,Cid go'aan maxkamadeed ku qaadid.
xul,1,Wax badan kuwa laga soo xushtay.
xul,2,Tiro wax kale oo la nooc ah fiicnaan uga doorid.
xul,3,"Wax, wax kale ka dhex baarid."
xul,4,Kayn iwm dhex marid.
xus,1,Allabari cid dhimatay loo sameeyo.
xus,2,Wax soo hadal qaadid.
xuub,1,"Lakab ama baal khafiif ah, oo jilicsan, oo xubnaha nafleyda meelo ka mid ah ku rogan, ku dahaaran."
xuub,2,"Nudo kiish oo kale ah kuwaas oo daboola isku xidha ama ku dhereran unugyada bayoolojiyeed iyo organ yarayaashooda, organnadooda iyo dhismayaashooda kale."
xuubi,1,Libaaxbadeedka waaweyn jaad ka mid ah.
xuubi,2,Caano degdeg u qurqurin.
xuubi,3,Wax qolof ama ded saarnaa ka qaadid.
xuubi,4,Xoolo iwm degdeg ku kaxayn.
khafiif,1,wax culays yar; wax jurmi yar.
khafiif,2,Qof maskaxdiisa wax u dhimanyihiin.
khafiif,4, wax jacayl awgii ku waalasho.
khajal,1,Xishood; asluub; asturnaan.
khajal,2,Dareen naxdin iyo xishood leh muujin.
khaliif,1,Afartii madax oo Nebi Maxamed ku xigtay darajada iyo magaca loo yiqiin.
khaliif,2,Nin wakiil ka ah Shiikh xertiisu meelo badan joogto.
khalkhal,1,"  xasillooni darro qof ku dhacda cabsi, farax, naxdin iwm awgood."
khalkhal,2,  qalab xubno badan ka kooban oo adkaantii iyo ishaysashadii ka ba'do; kharraa
khalkhal,3,Qalab kharraa bid.
khamaar,1,Cayaaro lacag lagu kala helo.
khamaar,2,Khamaar ciyaarid.
khamaar,3,wax biimo gelin. 
khamaas,1, bil labaatan iyo sagaal ku dhammaata; toomman.
khamaas,2,Toomman noqosho .
khamiis,1,"Dhar tolan oo ilaa canqowyada jooga, gacmo dheerna leh oo raggashadaan. qamiis."
khamiis,2,Maalmaha toddobaadka mid ka mid ah oo arbacada iyo jimcaha u dhexeysa.
khasab,1,Dirqinta cid lagu dirqiyo wax aysan raali ka ahayn.
khasab,2,Geed bal iyo alammo leh oo toos u baxa oo dheecaankisa sonkorta laga sameeyo.
khasab,3,Wax cid ku dirqin.
khashuuc,1,Dareen beernugeyl diimeed leh muujin.
khashuuc,2,wax ka raalli noqosho ama la dhicid. 
khasir,1,Maal lacag ah oo si aan habboonayn lagu bixiyo ama lagu lumiyo.
khasir,2,Hanti si aan habbooneyn u isticmaalid.
khasir,3,Cid ganaaxid. khasiraad m.dh Ganaax cid la saaro. 
khoori,1,Gacan yar oo bad berriga soo gudaggala.
khoori,2,Dhul ballaaran oo biyaha baddu ama kuwa harooyinku ay soo galeen.
khoori,3,"Liid dhuleed dhuuban oo isku xira laba dhul oo waaweyn, tusaale ahaan: labo dhul qaaradeed oo waaweyn, ama jasiiradueke ku xira dhulweynaha; tusaale caad waxaa noqon kara qooriga Panama iyo qooriga Suez."
khuuri,1,"Geedgaab leh caleemo yaryar, xabag iyo qoryo udgoon oo guryaha loo shito."
khuuri,2,Khuuro sameyn. khuurin 
daab,1,"Qori ama bir la qabsado oo ku rakiban qalab goynta, jebinta, qodidda iwm loo adeegsado."
daab,2,Cudur leh shuban oo ku dhaca dhasha xoolaha markay dambar badan nuugaan.
daab,3,"Qalab goynta, jebinta, qodidda iwm loo adeegsado, qori ama bir la qabsado ku rakibid."
daabac,1,Duub dun ah oo maryaha lagu xardho.
daabac,2,Dhar dun lagu xardhay.
daabac,3,Meesha ay iska galaan daabka iyo birta toorreyda.
daabac,4,Xarar ku qurxin dhar iyadoo la adeegsanayo dun midabyo leh ama rinjii.
daabac,5,Qoraallo madbacadayn.
daabax,1,neef xoolo ah oo qalliin ku habboon.
daabax,2, hilib aan tamooti ahayn.
daabax,4,Neef xoolo ah gawricid.
daaco,1,"Neef dhawaaq leh, caloosha ka timaadda oo afka ka soo baxda."
daaco,2,Dhul godan oo aan dhir lahayn.
daad,1,Biyo xoog leh oo faafa oo ka yimaadda roob da'ay ama webi fatahay.
daad,2,Qaybta roobka ka mid ah oo ugu dambaysti gaarta duruuraha.
daad,3,Biyo si kedis ah oo dardar ah u shubma ee uaar ahaan keeno roobka weyn ee ka da'a waadiyada meelaha lamadegaanuekeyaasha ah.
daad,4,Biyo badan oo ka yimid roob da'ay ama webi fatahay faafid.
daaddeg,1,Meel taag ah gollaheeda.
daaddeg,2,"Qayb ka mid ah webiga oo socoshada biyaheedu ay ka dheerayso socoshada caadiga ah ee biyaha. Waxa laga yaabaa inay sababto tiirada oo janjeerkeedu si kedis ah kor ugu kaco, ama adkaysiga dhadhaabaha biyuhu dul marayaan oo aan isla ekayn."
daaddeg,3,meel taag ah hoos uga dhaadhicid.
daadduun,1,Qof cayrnimo awgeed la bayhoofay. 
daadduun,2,Cayrnimo darteed la bayhoofid. 
daaf,1,Xanuun indhaha ku dhaca; bakooro. 
daaf,2,Daaf ku dhicid. 
daah,1,Dibdhac; raagis; dubudhac.
daah,2,D. masraxiyeed: ilxir loo adeegsado goobta masraxiyadda.
daah,3,Raagid; dib u dhicid.
daah,4,Ka soo  madaxqaad; cudur ka kicid; diif cudur ka muuqato.
daah,5,Ilixir laga sameeyay dhar ama shiraac ama wax kale oo lagu xiro albaabbada iyo khalfadaha iwm ama qolalka lagu kala gooyo.
daah,6,Ilixir u yeelid.
daal,1,Culayska iyo jiirago'a oogada ku dhaca kolka socod dheer ama hawl adag la qabto; noog.
daal,2,Noog xagga jirka iyo maskaxda oo ka yimid hawl adag ama muddo dheer socotay. D.ka muruqyada waxaa keena walax aan waxtar jirka u lahayn oo ka yimaada metaboliisimka oo ku urura muruqa kana farabata shaqada dhiigga oo dibedda jirka uga saara. Nafaqo xumo ama cudur waxay qofka u keeni karaan d. dheeraad ah.
daal,3,"Socod dheer ama hawl adag oo la qabtay awgeed, culays iyo jiirago' oogada ka dareemid."
daalac,1,Wax dheeraad ah oo cid loo raacdo.
daalac,2,Dayax ama qorrax soo muuqasho.
daalib,1,Qof wax doonaya.
daalib,2,Qof wax baranaya.
daalib,3,Wax doonid ama raadin.
daan,1,Afka labadiisa lafood oo ilkuhu ku yaalliin.
daan,2,"Nudo adag oo tiiriyayaal ah, ha ahaadaan laf ama carjaw kuwaas oo sameeya fuqa hoose ee"
daani,1,"Cayayaan aad u yaryar, badarka gala oo bolol ka dhiga; suus."
daani,2, beydari aad toogta u yaqaan.
daani,3,Nin aan la gafin toogta wax uu nishaabo.
daar,1,Xabad.
daar,2,Daloolka yar ee haruubka dhiisha ama haanta.
daar,3,Cuf yar oo la geliyo daloolka haruubka dhiisha ama haanta.
daar,4,Hilib jiir ah oo sararta inteeda dambe ee araxda xigta saaran.
daar,5,Wax shidid ; wax ifid .
daar,6,Taabasho; maagid; daandaansi.
daar,7,"sar ,guri,shub,dhagax ka samaysan"
daar,8,Qof dilid; qof rayd.
daawo,1,Wax in muddo ah indhaha ku hayn.
daawo,2,"Maaddo cudurrada, nabarrada, dhaawaca iwm lagula tacaalo."
daawo,3,Heshiis iskaashi oo cid ka dhexeeya.
daawo,4,Maaro; xal. dawo.
daawo,5,"Walax kasta oo saameysa qaabka iyo shaqada noole. Daawoyinka waxa loo isticmaalaa ka hortagga, cudur aqoonsiga iyo daaweynta cudurrada iyo baabi'inta astaamahooda."
dab,1,Wax holac kulayl iyo iftiin leh oo ka dhasha gubashada.
dab,2,Hub
dab,3,Ceel maax ah oo aan dowlis lagabbin.
dab,4,"Ugaar, shimbir iwm dabin ku qabasho."
dab,5,Timo soohid.
dab,6,danab
dab,7,Il muddo yar isku hayn.
dabaakh,1,"Tartamidda cayaar turub oo labada dhinac oo iska soo horjeedaa ay u tartamaan foorooyin ay kala qabaan, inay qolo kaliya ku wareegto. "
dabaakh,2,Fooro wareejin ku tartamid .
dababbax,1,"Shuban badan, jilicsan, oo caloosha dadka iyo xoolaha ka yimaada."
dababbax,2,Caloosha dadka iyo xoolaha hayn .
dabadhilif,1,"Cid, cid kale si midiidinnimo ah danaheeda ugu fulisa."
dabadhilif,2,Barida idaha lafta yar ee dhuuban ee ay ku dhammaato.
dabafur,1,dabakafur.
dabafur,2,Xog qof u qarsoon kashifid.
dabaggal,1,Baaris qoto dheer oo lagu sameeyo wax qarsoon oo la doonayo in la hubsado.
dabaggal,2,dabaggelid. Cidaan qaabilsan baaridda arrin la tuhunsanyahay in ay dhacday ama dhici doonta.
dabaggal,3,Ciidanka nabadsugidda qayb ka mid ah oo qabilsan la socoshada arrimaha dibloomaaysiyiinta.
dabaggal,4,"Cid, cid kaloo ka horreeysa gadashooda istaagid ama socosho."
dabaggal,5,"Wax qarsoon, baaritaan qotodheer leh amayn."
dabaggur,1,Faraxumayn naag hurudda lagu sameeyo. dabaggurid.
dabaggur,2,Cad yar oo maro ah oo surwaal iwm gadaal looga kabo meel faddhacday.
dabakar,1,"Geedgaab leh laamo dhuudhuuban, tootoosan oo la laga dhigto."
dabakar,2,Cad maro ah.
dabakar,3,"Maro, cad maro kale ah ku tolid."
dabaq,1,"Dabool xardhan oo caw, qabo iwm ka smaysan, oo xeeryaha lagu daboolo."
dabaq,2,"Dhismo leh guryo is dul saaran, fooq."
dabaq,3,"Wax, dabool xardhan oo caw, qabo iwm ka samaysan, daboolid. dabbaq."
dabar,1,"Xarig gaaban, xaskul ka samaysan oo awrka labada lugood ee hore looga xiro si uusan u foogaan."
dabar,2,Awoodda isdhexgalka ee isku qabata laba atam ama in ka badan ama koox atammo ah. Xooggaga dhaliya dabarradu waxay u kala duwanaan karaan kuwo aad u dabacsan oo molikuyuullada dhexmara iyo kuwo ah dabarro kimikaad oo laxaad badan .
dabar,3,Sac ama geel dabar ku xirid.
dabaxir,1,"Maro yar oo carruurta markaa dhalata dabada looga xiro, si aayan isugu hallayn saxarada."
dabaxir,2,"wax, wax kale ku xiriirin."
dabbaal,1,Nacas; axmaq.
dabbaal,2,Wax jahaday u socdeen mid ka duwan u weecin; soo celin .
dabbaan,1,"Webi, durdur iwm meesha ugu biyo yar ee lugta looga gudbi karo."
dabbaan,2,dabbaanid.
dabbaan,3,"Fallaar aan dheg lahayn oo sida waranka u dhuuban; lama saaro mariid, waxaa loogu talaggalay in ay wax naafayso."
dabiib,1,Qof yaqaan sida wax loo daaweeyo; dakhtar.
dabiib,2,Dacarfal.
dabo,1,"Xubin dhuuban, dheer, laalaadda oo lafdhabarta ku dhammaato."
dabo,2,Meesha ay nafleyda ka saxarooto; futo.
dabo,3,Sal.
dabo,4,Gadaal.
dabo,5,"Ugaar, kalluun iwm dabin ku qabasho."
dabo,6,Timo tidcasho. dabool1  . Qalab afka laga
dabool,1,Gudin weyn.
dabool,2,Weel iwm si ayan wax ugu dhicin afka wax ka saarid.
daboolan,1,Weel iwm wax la daboolay noqosho.
daboolan,2,Wax muuqaalkooda wax kale qariyey noqosho.
dabraac,1,"Cayayaan baallalley ah, waqtiyada roobka la arko oo ilayska oo yaaca; hawtalhamag."
dabraac,2, qof meel allabari iwm ka jiraan cunto u raadsasho.
dabro,1,"Geed nagaar dhulka ku faalada, laamo dhuudhuuban oo jilicsan leh, xooluhu daaqaan oo dooxooyinka ka baxa."
dabro,2,Weerar rogaal celis ah.
dabro,3,Awr iwm dabar ku xirasho.
dacal,1,"Daraf, dhinac, cirif."
dacal,2,Summad xoolaha loo yeelo oo dhegta dhinaceeda hoose la jeexo. dacalmadow  Qori qaar ka mid ahi gubtay. dacar1  Dhismo weyn oo dusha ka dedan
dacas,1,"Kabo jilicsan, badanaa guriga lagu joogo oo balaastiig ka sameysan."
dacas,2,dhibaato.
dacas,3,afaad
dacas,4,Diif
dacas,5,Cid kabo dacas ah la dhicid.
dacas,6,Baabuur quwadjabid.
dacay,1,Xarig yar oo xoolaha qalka ama faruurta hoose looga xiro si loo xukumo.
dacay,2,Faruurta hoose ee xoolaha. 
dadab,1,Ardaa quruxsan oo ay cid u dhisto nin gabar ka doonaya.
dadab,2,Wax si goyneysa jahada toosan ee uu u yaal u dhigid.
daf,1,Durbaan yar oo shulushyo bir ah leh.
daf,2,Cod tilmaama socod ama dhawaaq kedis ah.
daf,3,wax si kedis ah u dhufsasho.
dagaag,1,Qof ama dad ka dalaabay degaankoodii cayrnimo awgeed.
dagaag,2,Cayrnimo awgeed la dalaabid .
dago,1,Bilaha dayaxa ee muslinka tirsado tan ugu horreysa.
dago,2,Sadaqo sharciga Islaamku ku waajibiyey hantida qofka muslim ah sannadkiiba mar.
dago,3,eef ari ah oo sadaqadaas loo bixiyo.
dago,4,"wax, cid u dayacmid."
dago,5,"ku dagmid, ku khatalmid; sigasho; baylahoobid."
dal,1,Dhul soohdin loo yaqaan leh oo la degganyahay; waddan.
dal,2,Harag rogob ka gurid. 
dalaaf,1,D.  xoolo ama dad darxumo iyo rafaad ka muuqdo.
dalaaf,2,D.  ceel biyihii ka gureen.
dalaaf,3,"Dad ama xoolo, wax darxumo iyo rafaad ka muuqdo noqosho."
dalaaf,5,"Ceel, biyo ka gurid."
dalab,1,Codsi ballanqaad leh oo cid wax lagu weyddiisto.
dalab,2,Qallooc yar oo lugaha gala oo labada law isu soo dhawaadaan.
dalaw,1, Baaldi.
dalaw,2,neef geel ah oo caana badan;madi
daliig,1,"Jilcinta lagu sameeyo caw, maqaar iwm iyadoo qalab gaar ah la adeegsanayo."
daliig,2,Daaweynta muruq jirran iyadoo faraha la adeegsanayo. daliigid.
daliig,3,"Cad dhuuban, dheer oo ka samaysan maro, caw, maqaar iwm."
daliig,4,"Caw, maqaar iwm qalab gaar ah oo looga tala galay ku jilcin."
daliig,5,Muruq jirran faraha ku daaweyn.
daliil,1,qof dullinimo ka muuqato.
daliil,2,Markhaati cad oo wax xaqiiqnimadiisa lagaddeynayo.
dalool,1,"Meel yar furan, wareegsan oo wax ka bannaan."
dalool,2,Saddex qaybood oo wax loo qaybshay middood. 
dalool,3,"Dalool ku dhex yaallo saytobalaasanka unug noolkaas oo ay ka buuxaan hawo, biyo, dareerayaal kale, dheecaan ama saxarro cunto ah. Unugyada dhirta, had iyo jeer waxay leeyihiin dalool weyn oo keliya, laakiin unugyada xayawaanku inta badan waxay leeyihi in dhowr dalool oo yaryar."
dalool,4,"Meel yar, furan, wareegsan, bannaan yeelasho . "
dambaxir,1,Xarig gaaban oo sac la lisayo sibraha looga xiro.
dambaxir,2,Sac la maalayo sibraxirid.
danaag,1,Waxtar; dheef.
danaag,2,Meel bannaan oo kayni ku wareegsantahay.
danab,1,Biriq.
danab,2,qof ama wax dadka soo jiita
danab,3,Birdanab
danab,4,Barashada ifafaalaha saldanab ha ahaado danabneg ama mid qulqulaya.
dani,1,"Qof mas'uul ka ah baabuur, bas iwm. deni."
dani,2,"Geed weyn, ciinka iyo dharkeenka ay isku bahyihiin oo ceelasha, guryaha, waraha iwm deyr looga dhigo; dano."
dar,1,"Weel ka sameysan bir, qori, harag oo xoolaha biyo loogu shubo."
dar,2,"D.tay, d.taa iwm: awgay, awgaa iwm."
dar,3,"D. Alle: Alle dartiis, si niyadsam ah. daraad."
dar,4,"Badar, biyo, caano iwm oo meel ku jira weel in yar uga qaadid."
dar,5,"Middi, waran iwm wax ku mudid."
dar,6,xaal wax ugnaayeen si ka xun noqosho.
dar,7,"wax, wax kale ku kordhin."
dar,8,nin iyo naag isuurin.
darab,1,Dhaqidda la dhaqo meelaha kaadida iyo saxaradu soo maraan; istanyo.
darab,2,"Toorrey, billaawe iwm daabkooda meesha ugu sarreysa ee quruxda loogu talagalay."
darab,3,Wax diyaarin.
darab,4,cabir dhulka beeraha lagu cabiro oo afar jibaal ah oo le'eg 25 mitir
darab,5,hanti yar oo laga bixiyo gabar la guursaday oo hooyadeed la siiyo
darab,6,"dun,aleel,kuul iwm oo weelka lagu qurxiyo"
darab,7,in yar oo biyo ah oo lagu istijoon karo
darab,8,Weel aleelayn.
daradhig,1,miro meel sare saaran oo la qallajinayo.
daradhig,2,  ilmo dhashay oo aan weli afartankii ka bixin.
daradhig,3,Sariir caws ka samaysan oo aad dhulka ugu dhow.
daran,1,"Geed yar, jaadad badan oo dhooddida iyo dibirka ka baxa oo dhanaan, geelu ku jeelbaxo leh."
daran,2,"wax, wax kale ku qasan noqosho. "
daran,3,Wax dhibaato badan ahaansho.
daran,4,"wax, wax kale ku qasan ahaansho."
daran,5,qof balwad aad u isticmaala ahaansho.
daran,6,wax cid dhibaateeya ahaansho
daran,7,Wax karti badan ahaansho .
